subject_id,video_id,attention,meditation,predef_label,user_label
8.0,5.0,24.0,24.0,1.0,1.0
8.0,5.0,20.0,16.0,1.0,1.0
8.0,5.0,21.0,35.0,1.0,1.0
8.0,5.0,7.0,43.0,1.0,1.0
8.0,5.0,14.0,43.0,1.0,1.0
8.0,5.0,20.0,30.0,1.0,1.0
8.0,5.0,16.0,14.0,1.0,1.0
8.0,5.0,34.0,16.0,1.0,1.0
8.0,5.0,26.0,37.0,1.0,1.0
8.0,5.0,34.0,41.0,1.0,1.0
8.0,5.0,26.0,54.0,1.0,1.0
8.0,5.0,30.0,51.0,1.0,1.0
8.0,5.0,47.0,47.0,1.0,1.0
8.0,5.0,30.0,44.0,1.0,1.0
8.0,5.0,43.0,24.0,1.0,1.0
8.0,5.0,41.0,35.0,1.0,1.0
8.0,5.0,35.0,16.0,1.0,1.0
8.0,5.0,44.0,26.0,1.0,1.0
8.0,5.0,30.0,48.0,1.0,1.0
8.0,5.0,37.0,35.0,1.0,1.0
8.0,5.0,26.0,56.0,1.0,1.0
8.0,5.0,29.0,60.0,1.0,1.0
8.0,5.0,44.0,63.0,1.0,1.0
8.0,5.0,35.0,54.0,1.0,1.0
8.0,5.0,35.0,54.0,1.0,1.0
8.0,5.0,48.0,48.0,1.0,1.0
8.0,5.0,51.0,57.0,1.0,1.0
8.0,5.0,40.0,48.0,1.0,1.0
8.0,5.0,43.0,67.0,1.0,1.0
8.0,5.0,35.0,78.0,1.0,1.0
8.0,5.0,13.0,56.0,1.0,1.0
8.0,5.0,30.0,70.0,1.0,1.0
8.0,5.0,21.0,77.0,1.0,1.0
8.0,5.0,17.0,60.0,1.0,1.0
8.0,5.0,35.0,61.0,1.0,1.0
8.0,5.0,17.0,43.0,1.0,1.0
8.0,5.0,14.0,17.0,1.0,1.0
8.0,5.0,11.0,27.0,1.0,1.0
8.0,5.0,11.0,38.0,1.0,1.0
8.0,5.0,4.0,21.0,1.0,1.0
8.0,5.0,17.0,48.0,1.0,1.0
8.0,5.0,21.0,50.0,1.0,1.0
8.0,5.0,35.0,38.0,1.0,1.0
8.0,5.0,43.0,53.0,1.0,1.0
8.0,5.0,48.0,34.0,1.0,1.0
8.0,5.0,41.0,16.0,1.0,1.0
8.0,5.0,30.0,29.0,1.0,1.0
8.0,5.0,41.0,38.0,1.0,1.0
8.0,5.0,37.0,40.0,1.0,1.0
8.0,5.0,40.0,41.0,1.0,1.0
8.0,5.0,27.0,40.0,1.0,1.0
8.0,5.0,23.0,21.0,1.0,1.0
8.0,5.0,14.0,13.0,1.0,1.0
8.0,5.0,20.0,21.0,1.0,1.0
8.0,5.0,14.0,35.0,1.0,1.0
8.0,5.0,1.0,44.0,1.0,1.0
8.0,5.0,1.0,38.0,1.0,1.0
8.0,5.0,1.0,23.0,1.0,1.0
