subject_id,video_id,attention,meditation,predef_label,user_label
8.0,5.0,14.0,50.0,1.0,1.0
8.0,5.0,10.0,61.0,1.0,1.0
8.0,5.0,21.0,63.0,1.0,1.0
8.0,5.0,30.0,41.0,1.0,1.0
8.0,5.0,40.0,41.0,1.0,1.0
8.0,5.0,40.0,43.0,1.0,1.0
8.0,5.0,57.0,43.0,1.0,1.0
8.0,5.0,48.0,50.0,1.0,1.0
8.0,5.0,47.0,47.0,1.0,1.0
8.0,5.0,50.0,30.0,1.0,1.0
8.0,5.0,37.0,21.0,1.0,1.0
8.0,5.0,40.0,21.0,1.0,1.0
8.0,5.0,30.0,7.0,1.0,1.0
8.0,5.0,40.0,21.0,1.0,1.0
8.0,5.0,57.0,50.0,1.0,1.0
8.0,5.0,56.0,60.0,1.0,1.0
8.0,5.0,48.0,74.0,1.0,1.0
8.0,5.0,30.0,50.0,1.0,1.0
8.0,5.0,14.0,34.0,1.0,1.0
8.0,5.0,1.0,16.0,1.0,1.0
8.0,5.0,17.0,23.0,1.0,1.0
8.0,5.0,30.0,47.0,1.0,1.0
8.0,5.0,40.0,50.0,1.0,1.0
8.0,5.0,61.0,69.0,1.0,1.0
8.0,5.0,70.0,63.0,1.0,1.0
8.0,5.0,70.0,63.0,1.0,1.0
8.0,5.0,70.0,51.0,1.0,1.0
8.0,5.0,66.0,56.0,1.0,1.0
8.0,5.0,60.0,63.0,1.0,1.0
8.0,5.0,47.0,66.0,1.0,1.0
8.0,5.0,44.0,83.0,1.0,1.0
8.0,5.0,48.0,78.0,1.0,1.0
8.0,5.0,48.0,69.0,1.0,1.0
8.0,5.0,51.0,77.0,1.0,1.0
8.0,5.0,38.0,60.0,1.0,1.0
8.0,5.0,30.0,47.0,1.0,1.0
8.0,5.0,27.0,38.0,1.0,1.0
8.0,5.0,37.0,24.0,1.0,1.0
8.0,5.0,41.0,29.0,1.0,1.0
8.0,5.0,64.0,40.0,1.0,1.0
8.0,5.0,64.0,40.0,1.0,1.0
8.0,5.0,67.0,50.0,1.0,1.0
8.0,5.0,61.0,48.0,1.0,1.0
8.0,5.0,56.0,61.0,1.0,1.0
8.0,5.0,44.0,47.0,1.0,1.0
8.0,5.0,47.0,50.0,1.0,1.0
8.0,5.0,44.0,66.0,1.0,1.0
8.0,5.0,51.0,64.0,1.0,1.0
8.0,5.0,43.0,94.0,1.0,1.0
8.0,5.0,26.0,97.0,1.0,1.0
8.0,5.0,11.0,83.0,1.0,1.0
8.0,5.0,10.0,80.0,1.0,1.0
8.0,5.0,4.0,54.0,1.0,1.0
8.0,5.0,26.0,48.0,1.0,1.0
8.0,5.0,29.0,38.0,1.0,1.0
8.0,5.0,17.0,54.0,1.0,1.0
8.0,5.0,27.0,48.0,1.0,1.0
8.0,5.0,21.0,35.0,1.0,1.0
8.0,5.0,24.0,48.0,1.0,1.0
8.0,5.0,34.0,47.0,1.0,1.0
8.0,5.0,34.0,60.0,1.0,1.0
8.0,5.0,21.0,60.0,1.0,1.0
8.0,5.0,27.0,64.0,1.0,1.0
8.0,5.0,27.0,34.0,1.0,1.0
8.0,5.0,21.0,21.0,1.0,1.0
